Data;1392 - Produção de derivados de petróleo - Gás natural - Barris/dia (milhões)
04/2008;0,365
05/2008;0,362
06/2008;0,384
07/2008;0,380
08/2008;0,384
09/2008;0,382
10/2008;0,390
11/2008;0,371
12/2008;0,372
01/2009;0,337
02/2009;0,353
03/2009;0,364
04/2009;0,353
05/2009;0,367
06/2009;0,372
07/2009;0,365
08/2009;0,359
09/2009;0,377
10/2009;0,374
11/2009;0,372
12/2009;0,380
01/2010;0,368
02/2010;0,381
03/2010;0,374
04/2010;0,385
05/2010;0,391
06/2010;0,396
07/2010;0,392
08/2010;0,393
09/2010;0,402
10/2010;0,409
11/2010;0,417
12/2010;0,435
01/2011;0,417
02/2011;0,395
03/2011;0,386
04/2011;0,393
05/2011;0,419
06/2011;0,423
07/2011;0,421
08/2011;0,418
09/2011;0,410
10/2011;0,417
11/2011;0,427
12/2011;0,449
01/2012;0,447
02/2012;0,422
03/2012;0,417
04/2012;0,411
05/2012;0,430
06/2012;0,453
07/2012;0,446
08/2012;0,449
09/2012;0,451
10/2012;0,459
11/2012;0,461
12/2012;0,479
01/2013;0,477
02/2013;0,481
03/2013;0,486
04/2013;0,470
05/2013;0,471
06/2013;0,503
07/2013;0,494
08/2013;0,484
09/2013;0,492
10/2013;0,458
11/2013;0,497
12/2013;0,513
01/2014;0,505
02/2014;0,524
03/2014;0,525
04/2014;0,521
05/2014;0,532
06/2014;0,544
07/2014;0,553
08/2014;0,572
09/2014;0,559
10/2014;0,583
11/2014;0,577
12/2014;0,598
01/2015;0,607
02/2015;0,600
03/2015;0,601
04/2015;0,593
05/2015;0,586
06/2015;0,601
07/2015;0,600
08/2015;0,624
09/2015;0,612
10/2015;0,614
11/2015;0,592
12/2015;0,631
01/2016;0,612
02/2016;0,615
03/2016;0,568
04/2016;0,602
05/2016;0,628
06/2016;0,651
07/2016;0,674
08/2016;0,684
09/2016;0,695
10/2016;0,682
11/2016;0,699
12/2016;0,703
01/2017;0,691
02/2017;0,671
03/2017;0,637
04/2017;0,645
05/2017;0,659
06/2017;0,699
07/2017;0,723
08/2017;0,703
09/2017;0,717
10/2017;0,721
11/2017;0,713
12/2017;0,713
01/2018;0,707
02/2018;0,691
03/2018;0,673
04/2018;0,684
05/2018;0,704
06/2018;0,723
07/2018;0,729
08/2018;0,669
09/2018;0,710
10/2018;0,736
11/2018;0,707
12/2018;0,715
01/2019;0,712
02/2019;0,693
03/2019;0,701
04/2019;0,710
05/2019;0,742
06/2019;0,699
07/2019;0,781
08/2019;0,839
09/2019;0,810
10/2019;0,828
11/2019;0,859
12/2019;0,867
01/2020;0,873
02/2020;0,811
03/2020;0,766
04/2020;0,780
05/2020;0,719
06/2020;0,808
07/2020;0,820
08/2020;0,844
09/2020;0,788
10/2020;0,818
11/2020;0,795
12/2020;0,799
01/2021;0,858
02/2021;0,825
03/2021;0,793
04/2021;0,827
05/2021;0,846
06/2021;0,854
07/2021;0,875
08/2021;0,859
Fonte;ANP
